# (1)	(2)
# kT	c
1.000000000000000000e+01	6.477446556091308594e-01
1.022556400299072266e+01	6.380118727684020996e-01
1.045112800598144531e+01	6.285114884376525879e-01
1.067669200897216797e+01	6.192389130592346191e-01
1.090225601196289062e+01	6.101890802383422852e-01
1.112782001495361328e+01	6.013569235801696777e-01
1.135338306427001953e+01	5.927376151084899902e-01
1.157894706726074219e+01	5.843256115913391113e-01
1.180451107025146484e+01	5.761157870292663574e-01
1.203007507324218750e+01	5.681027770042419434e-01
1.225563907623291016e+01	5.602812767028808594e-01
1.248120307922363281e+01	5.526462793350219727e-01
1.270676708221435547e+01	5.451923012733459473e-01
1.293233108520507812e+01	5.379144549369812012e-01
1.315789508819580078e+01	5.308076143264770508e-01
1.338345909118652344e+01	5.238671898841857910e-01
1.360902214050292969e+01	5.170881152153015137e-01
1.383458614349365234e+01	5.104659199714660645e-01
1.406015014648437500e+01	5.039954185485839844e-01
1.428571414947509766e+01	4.976727962493896484e-01
1.451127815246582031e+01	4.914937019348144531e-01
1.473684215545654297e+01	4.854536056518554688e-01
1.496240615844726562e+01	4.795485436916351318e-01
1.518797016143798828e+01	4.737747013568878174e-01
1.541353416442871094e+01	4.681278169155120850e-01
1.563909816741943359e+01	4.626047611236572266e-01
1.586466217041015625e+01	4.572013914585113525e-01
1.609022521972656250e+01	4.519146084785461426e-01
1.631579017639160156e+01	4.467405676841735840e-01
1.654135322570800781e+01	4.416764080524444580e-01
1.676691818237304688e+01	4.367188215255737305e-01
1.699248123168945312e+01	4.318648576736450195e-01
1.721804428100585938e+01	4.271111190319061279e-01
1.744360923767089844e+01	4.224551916122436523e-01
1.766917228698730469e+01	4.178941249847412109e-01
1.789473724365234375e+01	4.134255051612854004e-01
1.812030029296875000e+01	4.090462028980255127e-01
1.834586524963378906e+01	4.047541320323944092e-01
1.857142829895019531e+01	4.005468785762786865e-01
1.879699325561523438e+01	3.964219391345977783e-01
1.902255630493164062e+01	3.923769593238830566e-01
1.924812126159667969e+01	3.884100317955017090e-01
1.947368431091308594e+01	3.845188319683074951e-01
1.969924736022949219e+01	3.807014822959899902e-01
1.992481231689453125e+01	3.769559264183044434e-01
2.015037536621093750e+01	3.732801973819732666e-01
2.037594032287597656e+01	3.696725368499755859e-01
2.060150337219238281e+01	3.661311864852905273e-01
2.082706832885742188e+01	3.626542985439300537e-01
2.105263137817382812e+01	3.592402637004852295e-01
2.127819633483886719e+01	3.558872938156127930e-01
2.150375938415527344e+01	3.525942564010620117e-01
2.172932434082031250e+01	3.493591547012329102e-01
2.195488739013671875e+01	3.461810052394866943e-01
2.218045043945312500e+01	3.430580198764801025e-01
2.240601539611816406e+01	3.399887681007385254e-01
2.263157844543457031e+01	3.369721174240112305e-01
2.285714340209960938e+01	3.340066969394683838e-01
2.308270645141601562e+01	3.310914039611816406e-01
2.330827140808105469e+01	3.282248079776763916e-01
2.353383445739746094e+01	3.254058361053466797e-01
2.375939941406250000e+01	3.226333856582641602e-01
2.398496246337890625e+01	3.199064135551452637e-01
2.421052742004394531e+01	3.172235786914825439e-01
2.443609046936035156e+01	3.145841658115386963e-01
2.466165351867675781e+01	3.119869232177734375e-01
2.488721847534179688e+01	3.094309568405151367e-01
2.511278152465820312e+01	3.069153130054473877e-01
2.533834648132324219e+01	3.044391274452209473e-01
2.556390953063964844e+01	3.020014762878417969e-01
2.578947448730468750e+01	2.996014952659606934e-01
2.601503753662109375e+01	2.972382307052612305e-01
2.624060249328613281e+01	2.949109971523284912e-01
2.646616554260253906e+01	2.926190495491027832e-01
2.669173049926757812e+01	2.903614640235900879e-01
2.691729354858398438e+01	2.881375849246978760e-01
2.714285659790039062e+01	2.859466671943664551e-01
2.736842155456542969e+01	2.837879359722137451e-01
2.759398460388183594e+01	2.816606760025024414e-01
2.781954956054687500e+01	2.795643806457519531e-01
2.804511260986328125e+01	2.774984538555145264e-01
2.827067756652832031e+01	2.754618525505065918e-01
2.849624061584472656e+01	2.734544575214385986e-01
2.872180557250976562e+01	2.714752554893493652e-01
2.894736862182617188e+01	2.695239484310150146e-01
2.917293357849121094e+01	2.675997018814086914e-01
2.939849662780761719e+01	2.657024264335632324e-01
2.962405967712402344e+01	2.638310194015502930e-01
2.984962463378906250e+01	2.619853913784027100e-01
3.007518768310546875e+01	2.601646780967712402e-01
3.030075263977050781e+01	2.583687603473663330e-01
3.052631568908691406e+01	2.565968632698059082e-01
3.075188064575195312e+01	2.548485100269317627e-01
3.097744369506835938e+01	2.531233727931976318e-01
3.120300865173339844e+01	2.514210343360900879e-01
3.142857170104980469e+01	2.497409880161285400e-01
3.165413665771484375e+01	2.480827420949935913e-01
3.187969970703125000e+01	2.464460134506225586e-01
3.210526275634765625e+01	2.448302656412124634e-01
3.233082580566406250e+01	2.432352006435394287e-01
3.255639266967773438e+01	2.416603416204452515e-01
3.278195571899414062e+01	2.401054203510284424e-01
3.300751876831054688e+01	2.385700643062591553e-01
3.323308181762695312e+01	2.370537519454956055e-01
3.345864868164062500e+01	2.355562746524810791e-01
3.368421173095703125e+01	2.340772747993469238e-01
3.390977478027343750e+01	2.326164990663528442e-01
3.413533782958984375e+01	2.311733216047286987e-01
3.436090087890625000e+01	2.297477424144744873e-01
3.458646774291992188e+01	2.283393889665603638e-01
3.481203079223632812e+01	2.269479036331176758e-01
3.503759384155273438e+01	2.255728095769882202e-01
3.526315689086914062e+01	2.242142409086227417e-01
3.548872375488281250e+01	2.228716313838958740e-01
3.571428680419921875e+01	2.215446233749389648e-01
3.593984985351562500e+01	2.202330380678176880e-01
3.616541290283203125e+01	2.189368754625320435e-01
3.639097976684570312e+01	2.176554650068283081e-01
3.661654281616210938e+01	2.163887619972229004e-01
3.684210586547851562e+01	2.151366323232650757e-01
3.706766891479492188e+01	2.138985693454742432e-01
3.729323196411132812e+01	2.126744538545608521e-01
3.751879882812500000e+01	2.114640176296234131e-01
3.774436187744140625e+01	2.102671861648559570e-01
3.796992492675781250e+01	2.090835124254226685e-01
3.819548797607421875e+01	2.079130262136459351e-01
3.842105484008789062e+01	2.067552953958511353e-01
3.864661788940429688e+01	2.056101858615875244e-01
3.887218093872070312e+01	2.044776827096939087e-01
3.909774398803710938e+01	2.033572047948837280e-01
