# (1)	(2)
# kT	c
1.000000000000000000e+01	6.317390203475952148e-01
1.022556400299072266e+01	6.406814455986022949e-01
1.045112800598144531e+01	6.494860053062438965e-01
1.067669200897216797e+01	6.581047177314758301e-01
1.090225601196289062e+01	6.665107607841491699e-01
1.112782001495361328e+01	6.746727824211120605e-01
1.135338306427001953e+01	6.825547814369201660e-01
1.157894706726074219e+01	6.901335120201110840e-01
1.180451107025146484e+01	6.973836421966552734e-01
1.203007507324218750e+01	7.042894959449768066e-01
1.225563907623291016e+01	7.108277082443237305e-01
1.248120307922363281e+01	7.169870138168334961e-01
1.270676708221435547e+01	7.227534055709838867e-01
1.293233108520507812e+01	7.281193733215332031e-01
1.315789508819580078e+01	7.330791354179382324e-01
1.338345909118652344e+01	7.376279234886169434e-01
1.360902214050292969e+01	7.417635917663574219e-01
1.383458614349365234e+01	7.454838752746582031e-01
1.406015014648437500e+01	7.487951517105102539e-01
1.428571414947509766e+01	7.516985535621643066e-01
1.451127815246582031e+01	7.541984319686889648e-01
1.473684215545654297e+01	7.563021779060363770e-01
1.496240615844726562e+01	7.580155134201049805e-01
1.518797016143798828e+01	7.593477964401245117e-01
1.541353416442871094e+01	7.603086233139038086e-01
1.563909816741943359e+01	7.609083056449890137e-01
1.586466217041015625e+01	7.611567974090576172e-01
1.609022521972656250e+01	7.610650658607482910e-01
1.631579017639160156e+01	7.606455087661743164e-01
1.654135322570800781e+01	7.599084973335266113e-01
1.676691818237304688e+01	7.588678598403930664e-01
1.699248123168945312e+01	7.575350403785705566e-01
1.721804428100585938e+01	7.559213638305664062e-01
1.744360923767089844e+01	7.540402412414550781e-01
1.766917228698730469e+01	7.519042491912841797e-01
1.789473724365234375e+01	7.495248913764953613e-01
1.812030029296875000e+01	7.469140887260437012e-01
1.834586524963378906e+01	7.440844774246215820e-01
1.857142829895019531e+01	7.410474419593811035e-01
1.879699325561523438e+01	7.378138899803161621e-01
1.902255630493164062e+01	7.343958616256713867e-01
1.924812126159667969e+01	7.308029532432556152e-01
1.947368431091308594e+01	7.270475625991821289e-01
1.969924736022949219e+01	7.231383919715881348e-01
1.992481231689453125e+01	7.190863490104675293e-01
2.015037536621093750e+01	7.149010896682739258e-01
2.037594032287597656e+01	7.105916738510131836e-01
2.060150337219238281e+01	7.061673402786254883e-01
2.082706832885742188e+01	7.016364336013793945e-01
2.105263137817382812e+01	6.970076560974121094e-01
2.127819633483886719e+01	6.922892928123474121e-01
2.150375938415527344e+01	6.874881982803344727e-01
2.172932434082031250e+01	6.826127171516418457e-01
2.195488739013671875e+01	6.776693463325500488e-01
2.218045043945312500e+01	6.726648211479187012e-01
2.240601539611816406e+01	6.676058769226074219e-01
2.263157844543457031e+01	6.624982953071594238e-01
2.285714340209960938e+01	6.573482155799865723e-01
2.308270645141601562e+01	6.521616578102111816e-01
2.330827140808105469e+01	6.469429135322570801e-01
2.353383445739746094e+01	6.416977643966674805e-01
2.375939941406250000e+01	6.364306211471557617e-01
2.398496246337890625e+01	6.311463713645935059e-01
2.421052742004394531e+01	6.258489489555358887e-01
2.443609046936035156e+01	6.205426454544067383e-01
2.466165351867675781e+01	6.152310967445373535e-01
2.488721847534179688e+01	6.099182963371276855e-01
2.511278152465820312e+01	6.046071052551269531e-01
2.533834648132324219e+01	5.993011593818664551e-01
2.556390953063964844e+01	5.940034389495849609e-01
2.578947448730468750e+01	5.887166261672973633e-01
2.601503753662109375e+01	5.834435820579528809e-01
2.624060249328613281e+01	5.781865119934082031e-01
2.646616554260253906e+01	5.729483366012573242e-01
2.669173049926757812e+01	5.677306056022644043e-01
2.691729354858398438e+01	5.625357031822204590e-01
2.714285659790039062e+01	5.573655962944030762e-01
2.736842155456542969e+01	5.522215962409973145e-01
2.759398460388183594e+01	5.471060276031494141e-01
